Gender,Sector,Age,Vacc Period,Epi Day,Cohort,N_person,Rate_per_1K
male,Arab,80+,JanB,11/08/2021,2nd,800,0
male,Arab,80+,FebA,11/08/2021,2nd,1363,0.733675715
male,Arab,80+,FebB,11/08/2021,2nd,417,0
male,ultra-Orthodox Jews,60-69,JanB,11/08/2021,2nd,2025,0
male,ultra-Orthodox Jews,60-69,JanB,11/08/2021,12+,29,0
male,ultra-Orthodox Jews,60-69,FebA,11/08/2021,2nd,1969,0
male,ultra-Orthodox Jews,60-69,FebA,11/08/2021,12+,<5,0
male,ultra-Orthodox Jews,60-69,FebB,11/08/2021,2nd,676,0
male,ultra-Orthodox Jews,70-79,JanB,11/08/2021,2nd,1239,0
male,ultra-Orthodox Jews,70-79,JanB,11/08/2021,12+,22,0
male,ultra-Orthodox Jews,70-79,FebA,11/08/2021,2nd,1113,0
male,ultra-Orthodox Jews,70-79,FebA,11/08/2021,12+,<5,0
male,ultra-Orthodox Jews,70-79,FebB,11/08/2021,2nd,291,0
male,ultra-Orthodox Jews,80+,JanB,11/08/2021,2nd,642,0
male,ultra-Orthodox Jews,80+,JanB,11/08/2021,12+,12,0
male,ultra-Orthodox Jews,80+,FebA,11/08/2021,2nd,623,0
male,ultra-Orthodox Jews,80+,FebA,11/08/2021,12+,<5,0
male,ultra-Orthodox Jews,80+,FebB,11/08/2021,2nd,132,0
female,General Jewish,60-69,JanB,12/08/2021,2nd,41486,0.048209034
female,General Jewish,60-69,JanB,12/08/2021,12+,1682,0
female,General Jewish,60-69,FebA,12/08/2021,2nd,42965,0
female,General Jewish,60-69,FebA,12/08/2021,12+,149,0
female,General Jewish,60-69,FebB,12/08/2021,2nd,11570,0
female,General Jewish,60-69,FebB,12/08/2021,12+,<5,0
female,General Jewish,70-79,JanB,12/08/2021,2nd,25687,0.077860396
female,General Jewish,70-79,JanB,12/08/2021,12+,1482,0
female,General Jewish,70-79,FebA,12/08/2021,2nd,25406,0.039360781
female,General Jewish,70-79,FebA,12/08/2021,12+,115,0
female,General Jewish,70-79,FebB,12/08/2021,2nd,5994,0
female,General Jewish,70-79,FebB,12/08/2021,12+,<5,0
